Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HI-116 for",2016-01-07,10:15,2016-01-07,12:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
"-HI-116 for",2016-01-07,14:15,2016-01-07,16:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
"-HI-129 for/sem",2016-01-12,08:15,2016-01-12,12:00,"Dørum Knut, Seland Bjørg","KRS 46 137 sem"
".ST-202-1 sem",2016-01-13,08:15,2016-01-13,12:00,"Gänzle Stefan","KRS IU 069 aud"
".ST-204-1 forel",2016-01-13,12:15,2016-01-13,15:00,"Kvåle Gro","KRS IU 069 aud"
"-HI-116 for",2016-01-14,10:15,2016-01-14,12:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
"-HI-116 for",2016-01-14,14:15,2016-01-14,16:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
".SE-210-1 forel (minus uke 13)",2016-01-18,12:15,2016-01-18,14:00,"Torjesen Stina","KRS HU 023 sem"
"-HI-129 for/sem",2016-01-19,08:15,2016-01-19,12:00,"Dørum Knut, Seland Bjørg","KRS 46 137 sem"
"B/16/01/19 HI-129",2016-01-19,11:15,2016-01-19,14:00,"Seland Bjørg","KRS IU 069 aud"
".ST-202-1 sem",2016-01-20,08:15,2016-01-20,12:00,"Gänzle Stefan","KRS IU 069 aud"
".ST-204-1 forel",2016-01-20,12:15,2016-01-20,15:00,"Kvåle Gro","KRS IU 069 aud"
"-HI-116 for",2016-01-21,10:15,2016-01-21,12:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
"-HI-116 for",2016-01-21,14:15,2016-01-21,16:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
".SE-210-1 forel (minus uke 13)",2016-01-25,12:15,2016-01-25,14:00,"Torjesen Stina","KRS HU 023 sem"
"-HI-129 for/sem",2016-01-26,08:15,2016-01-26,12:00,"Dørum Knut, Seland Bjørg","KRS 46 137 sem"
"B/16/01/26 HI-129 film",2016-01-26,11:15,2016-01-26,14:00,"Seland Bjørg","KRS B2 006 aud"
".ST-202-1 sem",2016-01-27,08:15,2016-01-27,12:00,"Gänzle Stefan","KRS IU 069 aud"
"-HI-116 for",2016-01-28,10:15,2016-01-28,12:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
"-HI-116 for",2016-01-28,14:15,2016-01-28,16:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
".SE-210-1 forel (minus uke 13)",2016-02-01,12:15,2016-02-01,14:00,"Torjesen Stina","KRS HU 023 sem"
"-HI-129 for/sem",2016-02-02,08:15,2016-02-02,12:00,"Dørum Knut, Seland Bjørg","KRS 46 137 sem"
".ST-202-1 sem",2016-02-03,08:15,2016-02-03,12:00,"Gänzle Stefan","KRS IU 069 aud"
"-HI-116 for",2016-02-04,10:15,2016-02-04,12:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
"-HI-116 for",2016-02-04,14:15,2016-02-04,16:00,"Leer-Salvesen Paul, Tønnesson Øyvind, Aase Andreas","KRS 46 118 aula"
".SE-210-1 forel (minus uke 13)",2016-02-08,12:15,2016-02-08,14:00,"Torjesen Stina","KRS HU 023 sem"
"-HI-129 for/sem",2016-02-09,08:15,2016-02-09,12:00,"Dørum Knut, Seland Bjørg","KRS 46 137 sem"
