Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*FYS126 forel tors",2016-01-07,10:15,2016-01-07,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125 forel man",2016-01-11,12:15,2016-01-11,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-01-12,08:15,2016-01-12,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-01-12,10:15,2016-01-12,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125 forel ons",2016-01-13,12:15,2016-01-13,15:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tors",2016-01-14,10:15,2016-01-14,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126-1",2016-01-16,22:15,2016-01-16,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-01-17,22:15,2016-01-17,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel man",2016-01-18,12:15,2016-01-18,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 gr",2016-01-18,14:15,2016-01-18,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-01-19,08:15,2016-01-19,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-01-19,10:15,2016-01-19,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 gr",2016-01-19,14:15,2016-01-19,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS125 forel ons",2016-01-20,12:15,2016-01-20,15:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS203 forel tors",2016-01-21,08:15,2016-01-21,10:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126 forel tors",2016-01-21,10:15,2016-01-21,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 forel fre",2016-01-22,13:15,2016-01-22,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126-1",2016-01-23,22:15,2016-01-23,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-01-24,22:15,2016-01-24,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel man",2016-01-25,12:15,2016-01-25,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 gr",2016-01-25,14:15,2016-01-25,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-01-26,08:15,2016-01-26,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-01-26,10:15,2016-01-26,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 gr",2016-01-26,14:15,2016-01-26,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS125 forel ons",2016-01-27,12:15,2016-01-27,15:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS203 forel tors",2016-01-28,08:15,2016-01-28,10:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126 forel tors",2016-01-28,10:15,2016-01-28,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 forel fre",2016-01-29,13:15,2016-01-29,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126-1",2016-01-30,22:15,2016-01-30,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-01-31,22:15,2016-01-31,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel uke 5 NB! Tid",2016-02-01,14:15,2016-02-01,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-02-02,08:15,2016-02-02,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-02-02,10:15,2016-02-02,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 gr",2016-02-02,14:15,2016-02-02,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS125 forel uke 5 NB! Tid",2016-02-03,14:15,2016-02-03,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS203 forel tors",2016-02-04,08:15,2016-02-04,10:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126 forel tors",2016-02-04,10:15,2016-02-04,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 forel fre",2016-02-05,13:15,2016-02-05,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126-1",2016-02-06,22:15,2016-02-06,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-02-07,22:15,2016-02-07,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel man",2016-02-08,12:15,2016-02-08,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 gr",2016-02-08,14:15,2016-02-08,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-02-09,08:15,2016-02-09,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-02-09,10:15,2016-02-09,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 gr",2016-02-09,14:15,2016-02-09,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS125 forel ons",2016-02-10,12:15,2016-02-10,15:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS203 forel tors",2016-02-11,08:15,2016-02-11,10:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126 forel tors",2016-02-11,10:15,2016-02-11,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 lab",2016-02-12,08:15,2016-02-12,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 forel fre",2016-02-12,13:15,2016-02-12,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126-1",2016-02-13,22:15,2016-02-13,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-02-14,22:15,2016-02-14,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel man",2016-02-15,12:15,2016-02-15,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 gr",2016-02-15,14:15,2016-02-15,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-02-16,08:15,2016-02-16,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-02-16,10:15,2016-02-16,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 gr",2016-02-16,14:15,2016-02-16,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS125 forel ons",2016-02-17,12:15,2016-02-17,15:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS203 forel tors",2016-02-18,08:15,2016-02-18,10:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126 forel tors",2016-02-18,10:15,2016-02-18,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 lab",2016-02-19,08:15,2016-02-19,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 forel fre",2016-02-19,13:15,2016-02-19,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126-1",2016-02-20,22:15,2016-02-20,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-02-21,22:15,2016-02-21,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel man",2016-02-22,12:15,2016-02-22,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 gr",2016-02-22,14:15,2016-02-22,16:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS126 forel tirs",2016-02-23,08:15,2016-02-23,10:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS126 gr",2016-02-23,10:15,2016-02-23,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 gr",2016-02-23,14:15,2016-02-23,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS125 forel ons",2016-02-24,12:15,2016-02-24,15:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS203 forel tors",2016-02-25,08:15,2016-02-25,10:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126 forel tors",2016-02-25,10:15,2016-02-25,12:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS203 forel fre",2016-02-26,13:15,2016-02-26,16:00,"Bomark Nils-Erik Anders","KRS J1 007 fys"
"*FYS126-1",2016-02-27,22:15,2016-02-27,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-02-28,22:15,2016-02-28,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"-Praksis uke 9 og 10",2016-02-29,08:15,2016-02-29,16:00,"",""
"-Praksis uke 9 og 10",2016-03-01,08:15,2016-03-01,16:00,"",""
"-Praksis uke 9 og 10",2016-03-02,08:15,2016-03-02,16:00,"",""
"-Praksis uke 9 og 10",2016-03-03,08:15,2016-03-03,16:00,"",""
"-Praksis uke 9 og 10",2016-03-04,08:15,2016-03-04,16:00,"",""
"*FYS126-1",2016-03-05,22:15,2016-03-05,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-03-06,22:15,2016-03-06,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"-Praksis uke 9 og 10",2016-03-07,08:15,2016-03-07,16:00,"",""
"-Praksis uke 9 og 10",2016-03-08,08:15,2016-03-08,16:00,"",""
"-Praksis uke 9 og 10",2016-03-09,08:15,2016-03-09,16:00,"",""
"-Praksis uke 9 og 10",2016-03-10,08:15,2016-03-10,16:00,"",""
"-Praksis uke 9 og 10",2016-03-11,08:15,2016-03-11,16:00,"",""
"*FYS126-1",2016-03-12,22:15,2016-03-12,23:00,"Solgaard Geir","KRS J1 007 fys"
"*FYS125-1",2016-03-13,22:15,2016-03-13,23:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
"*FYS125 forel man",2016-03-14,12:15,2016-03-14,14:00,"Bomark Nils-Erik Anders, Renstrøm Reidun","KRS J1 007 fys"
