Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ST-102-1 for minus uke 13*",2016-01-11,11:15,2016-01-11,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-01-11,13:15,2016-01-11,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".ST-101-1 for minus uke 13*",2016-01-11,15:15,2016-01-11,17:00,"Thorsvik Jan","KRS B1 018 aud"
".ST-101-1 gr minus uke 13*",2016-01-11,17:15,2016-01-11,19:00,"Thorsvik Jan","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ST-103-1 for*",2016-01-13,10:15,2016-01-13,12:00,"Haslerud Gjermund","KRS 46 118 aula"
".ST-103-1 gr*",2016-01-13,12:15,2016-01-13,14:00,"Haslerud Gjermund","KRS 50 137a, KRS 50 137b, KRS 50 141, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 122a, KRS 51 122b, KRS 51 122d, KRS 51 122c"
".ST-102-1 for minus uke 13*",2016-01-18,11:15,2016-01-18,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-01-18,13:15,2016-01-18,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".ST-101-1 for minus uke 13*",2016-01-18,15:15,2016-01-18,17:00,"Thorsvik Jan","KRS B1 018 aud"
".ST-101-1 gr minus uke 13*",2016-01-18,17:15,2016-01-18,19:00,"Thorsvik Jan","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ST-103-1 for*",2016-01-20,10:15,2016-01-20,12:00,"Haslerud Gjermund","KRS 46 118 aula"
".ST-103-1 gr*",2016-01-20,12:15,2016-01-20,14:00,"Haslerud Gjermund","KRS 50 137a, KRS 50 137b, KRS 50 141, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 122a, KRS 51 122b, KRS 51 122d, KRS 51 122c"
".ST-102-1 for minus uke 13*",2016-01-25,11:15,2016-01-25,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-01-25,13:15,2016-01-25,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".ST-101-1 for minus uke 13*",2016-01-25,15:15,2016-01-25,17:00,"Thorsvik Jan","KRS B1 018 aud"
".ST-101-1 gr minus uke 13*",2016-01-25,17:15,2016-01-25,19:00,"Thorsvik Jan","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ST-103-1 for*",2016-01-27,10:15,2016-01-27,12:00,"Haslerud Gjermund","KRS 46 118 aula"
".ST-103-1 gr*",2016-01-27,12:15,2016-01-27,14:00,"Haslerud Gjermund","KRS 50 137a, KRS 50 137b, KRS 50 141, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 122a, KRS 51 122b, KRS 51 122d, KRS 51 122c"
"-Lektorutd. samf.1.år: Profesjonsfaglig samling uke 4.6.11",2016-01-27,14:15,2016-01-27,16:00,"Trysnes Irene","KRS F2 008 sem"
".ST-102-1 for minus uke 13*",2016-02-01,11:15,2016-02-01,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-02-01,13:15,2016-02-01,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".ST-101-1 for minus uke 13*",2016-02-01,15:15,2016-02-01,17:00,"Thorsvik Jan","KRS B1 018 aud"
".ST-101-1 gr minus uke 13*",2016-02-01,17:15,2016-02-01,19:00,"Thorsvik Jan","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ST-103-1 for*",2016-02-03,10:15,2016-02-03,12:00,"Haslerud Gjermund","KRS 46 118 aula"
".ST-103-1 gr*",2016-02-03,12:15,2016-02-03,14:00,"Haslerud Gjermund","KRS 50 137a, KRS 50 137b, KRS 50 141, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 122a, KRS 51 122b, KRS 51 122d, KRS 51 122c"
"-Lektorutd. samf. 2.år: Profesjonsfaglig samling uke 5.7.13",2016-02-03,14:15,2016-02-03,16:00,"Trysnes Irene","KRS F2 008 sem"
".ST-102-1 for minus uke 13*",2016-02-08,11:15,2016-02-08,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-02-08,13:15,2016-02-08,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".ST-101-1 for minus uke 13*",2016-02-08,15:15,2016-02-08,17:00,"Thorsvik Jan","KRS B1 018 aud"
".ST-101-1 gr minus uke 13*",2016-02-08,17:15,2016-02-08,19:00,"Thorsvik Jan","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ST-103-1 for*",2016-02-10,10:15,2016-02-10,12:00,"Haslerud Gjermund","KRS 46 118 aula"
".ST-103-1 gr*",2016-02-10,12:15,2016-02-10,14:00,"Haslerud Gjermund","KRS 50 137a, KRS 50 137b, KRS 50 141, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 122a, KRS 51 122b, KRS 51 122d, KRS 51 122c"
"-Lektorutd. samf.1.år: Profesjonsfaglig samling uke 4.6.11",2016-02-10,14:15,2016-02-10,16:00,"Trysnes Irene","KRS F2 008 sem"
".ST-102-1 for minus uke 13*",2016-02-15,11:15,2016-02-15,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-02-15,13:15,2016-02-15,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
