Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'ELE213/Øv/01",2016-04-14,14:15,2016-04-14,16:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/labøv/01",2016-04-15,08:15,2016-04-15,12:00,"Jiao Lei, Kohle, Sunita","GRM A2 152 labELE"
"'ELE205/Forel/02",2016-04-15,12:15,2016-04-15,15:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 023 sem"
"'ELE205/Forel/01",2016-04-18,09:15,2016-04-18,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'MA-155/Øv/01 Stat ELEKTRO",2016-04-18,12:15,2016-04-18,14:00,"Studentassistent1 MA-155 øving","GRM A2 025 sem"
"'ELE205/Øv/01",2016-04-18,14:15,2016-04-18,16:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'ELE205/labøv/01",2016-04-19,08:15,2016-04-19,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 152 labELE"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-04-19,14:15,2016-04-19,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/01",2016-04-20,08:15,2016-04-20,10:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'MA-155/Forel/01/Stat - Streaming",2016-04-20,10:15,2016-04-20,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/02/Stat - Streaming",2016-04-21,10:15,2016-04-21,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/02",2016-04-21,12:15,2016-04-21,14:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/Øv/01",2016-04-21,14:15,2016-04-21,16:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/labøv/01",2016-04-22,08:15,2016-04-22,12:00,"Jiao Lei, Kohle, Sunita","GRM A2 152 labELE"
"'ELE205/Forel/02",2016-04-22,12:15,2016-04-22,15:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 023 sem"
"'ELE205/Forel/01",2016-04-25,09:15,2016-04-25,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'MA-155/Øv/01 Stat ELEKTRO",2016-04-25,12:15,2016-04-25,14:00,"Studentassistent1 MA-155 øving","GRM A2 025 sem"
"'ELE205/Øv/01",2016-04-25,14:15,2016-04-25,16:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'ELE205/labøv/01",2016-04-26,08:15,2016-04-26,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 152 labELE"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-04-26,14:15,2016-04-26,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/01",2016-04-27,08:15,2016-04-27,10:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'MA-155/Forel/01/Stat - Streaming",2016-04-27,10:15,2016-04-27,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/02/Stat - Streaming",2016-04-28,10:15,2016-04-28,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/02",2016-04-28,12:15,2016-04-28,14:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/Øv/01",2016-04-28,14:15,2016-04-28,16:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/labøv/01",2016-04-29,08:15,2016-04-29,12:00,"Jiao Lei, Kohle, Sunita","GRM A2 152 labELE"
