Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-419-1 forel onsd (51 134)",2016-01-06,08:15,2016-01-06,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-07,09:15,2016-01-07,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-07,13:15,2016-01-07,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-01-11,08:15,2016-01-11,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-12,14:15,2016-01-12,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-01-13,08:15,2016-01-13,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-14,09:15,2016-01-14,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-14,13:15,2016-01-14,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-01-18,08:15,2016-01-18,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-19,14:15,2016-01-19,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-01-20,08:15,2016-01-20,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-21,09:15,2016-01-21,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-21,13:15,2016-01-21,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-01-25,08:15,2016-01-25,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-26,14:15,2016-01-26,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-01-27,08:15,2016-01-27,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-28,09:15,2016-01-28,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-28,13:15,2016-01-28,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-02-01,08:15,2016-02-01,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-02,14:15,2016-02-02,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-02-03,08:15,2016-02-03,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-02-04,09:15,2016-02-04,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-02-04,13:15,2016-02-04,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-02-08,08:15,2016-02-08,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-09,14:15,2016-02-09,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-02-10,08:15,2016-02-10,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-02-11,09:15,2016-02-11,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-02-11,13:15,2016-02-11,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-02-15,08:15,2016-02-15,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-16,14:15,2016-02-16,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-02-17,08:15,2016-02-17,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel Friday wk 7 46 118 1115-1400",2016-02-19,11:15,2016-02-19,14:00,"Wald Andreas","KRS 46 118 aula"
".ORG449-1 gr  Friday wk 7 1415-1700",2016-02-19,14:15,2016-02-19,17:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-419-1 forel mand (B2 001)",2016-02-22,08:15,2016-02-22,11:00,"Zakamulin Valeriy I","KRS B2 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-23,14:15,2016-02-23,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-419-1 forel onsd (51 134)",2016-02-24,08:15,2016-02-24,11:00,"Zakamulin Valeriy I","KRS 51 134 sem"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-02-25,09:15,2016-02-25,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-02-25,13:15,2016-02-25,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".SE-414 forel mand",2016-03-14,10:15,2016-03-14,13:00,"Jungeilges Jochen","KRS D3 018 sem"
".SE-414-1 lab mand (minus uke 13)",2016-03-14,13:15,2016-03-14,15:00,"Jungeilges Jochen","KRS D3 017 pclab"
".SE-414 forel torsd (minus uke 18)",2016-03-17,08:15,2016-03-17,11:00,"Jungeilges Jochen","KRS D3 018 sem"
