Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ST-102-1 for minus uke 13*",2016-01-11,11:15,2016-01-11,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-01-11,13:15,2016-01-11,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".SV-200-2 forel 1",2016-01-12,10:15,2016-01-12,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS H1 022 sem"
".SV-200-2 gr 1",2016-01-12,12:15,2016-01-12,14:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-200-2 forel 2",2016-01-13,09:15,2016-01-13,11:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HU 022 sem"
".SV-200-2 gr 2",2016-01-13,11:15,2016-01-13,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-210-1 for uke 2-5 ons*",2016-01-13,11:15,2016-01-13,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 ons*",2016-01-13,14:15,2016-01-13,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".ST-102-1 for minus uke 13*",2016-01-18,11:15,2016-01-18,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-01-18,13:15,2016-01-18,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".SV-200-2 forel 1",2016-01-19,10:15,2016-01-19,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS H1 022 sem"
".SV-200-2 gr 1",2016-01-19,12:15,2016-01-19,14:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-200-2 forel 2",2016-01-20,09:15,2016-01-20,11:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HU 022 sem"
".SV-200-2 gr 2",2016-01-20,11:15,2016-01-20,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-210-1 for uke 2-5 ons*",2016-01-20,11:15,2016-01-20,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 ons*",2016-01-20,14:15,2016-01-20,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".ST-102-1 for minus uke 13*",2016-01-25,11:15,2016-01-25,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-01-25,13:15,2016-01-25,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".SV-200-2 forel 1",2016-01-26,10:15,2016-01-26,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS H1 022 sem"
".SV-200-2 gr 1",2016-01-26,12:15,2016-01-26,14:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-200-2 forel 2",2016-01-27,09:15,2016-01-27,11:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HU 022 sem"
".SV-200-2 gr 2",2016-01-27,11:15,2016-01-27,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-210-1 for uke 2-5 ons*",2016-01-27,11:15,2016-01-27,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 ons*",2016-01-27,14:15,2016-01-27,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".ST-102-1 for minus uke 13*",2016-02-01,11:15,2016-02-01,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-02-01,13:15,2016-02-01,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".SV-200-2 forel 1",2016-02-02,10:15,2016-02-02,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS H1 022 sem"
".SV-200-2 gr 1",2016-02-02,12:15,2016-02-02,14:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-200-2 forel 2",2016-02-03,09:15,2016-02-03,11:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HU 022 sem"
".SV-200-2 gr 2",2016-02-03,11:15,2016-02-03,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-210-1 for uke 2-5 ons*",2016-02-03,11:15,2016-02-03,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 ons*",2016-02-03,14:15,2016-02-03,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".ST-102-1 for minus uke 13*",2016-02-08,11:15,2016-02-08,13:00,"Skjølberg Katja","KRS B1 018 aud"
".ST-102-1 gr minus uke 13*",2016-02-08,13:15,2016-02-08,15:00,"Skjølberg Katja","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024"
".SV-200-2 forel 1",2016-02-09,10:15,2016-02-09,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS H1 022 sem"
".SV-200-2 gr 1",2016-02-09,12:15,2016-02-09,14:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-200-2 forel 2",2016-02-10,09:15,2016-02-10,11:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HU 022 sem"
".SV-200-2 gr 2",2016-02-10,11:15,2016-02-10,12:00,"Cruickshank Jørn, Knudsen Jon Paschen, Vasstrøm Mikaela","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".SV-210-1 for fra uke 6 tors* minus uke 18",2016-02-11,12:15,2016-02-11,15:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr fra uke 6 tors* minus uke 18",2016-02-11,15:15,2016-02-11,17:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
