Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EX-100 fil.hist. man",2016-01-11,12:15,2016-01-11,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-01-11,15:15,2016-01-11,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-102/EX-101 vitensk.fil.",2016-01-12,15:15,2016-01-12,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EX-100 fil.hist. man",2016-01-18,12:15,2016-01-18,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-01-18,15:15,2016-01-18,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-102/EX-101 vitensk.fil.",2016-01-19,15:15,2016-01-19,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EN-212 uke 3.7.15 onsdag",2016-01-20,12:15,2016-01-20,14:00,"Erdmann Susan","KRS H1 022 sem"
"-EX-100 fil.hist. man",2016-01-25,12:15,2016-01-25,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-01-25,15:15,2016-01-25,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-01-26,12:15,2016-01-26,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-01-26,15:15,2016-01-26,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EX-100 fil.hist. man",2016-02-01,12:15,2016-02-01,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-01,15:15,2016-02-01,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-02-02,12:15,2016-02-02,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-02-02,15:15,2016-02-02,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EX-100 fil.hist. man",2016-02-08,12:15,2016-02-08,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-08,15:15,2016-02-08,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-02-09,12:15,2016-02-09,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-02-09,15:15,2016-02-09,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EX-100 fil.hist. man",2016-02-15,12:15,2016-02-15,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-15,15:15,2016-02-15,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-02-16,12:15,2016-02-16,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-02-16,15:15,2016-02-16,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EN-212 uke 3.7.15 onsdag",2016-02-17,12:15,2016-02-17,14:00,"Erdmann Susan","KRS H1 022 sem"
"-EX-100 fil.hist. man",2016-02-29,12:15,2016-02-29,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-29,15:15,2016-02-29,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-03-01,12:15,2016-03-01,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-100 fil.hist. man",2016-03-07,12:15,2016-03-07,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-03-07,15:15,2016-03-07,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-03-08,12:15,2016-03-08,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-100 fil.hist. man",2016-03-14,12:15,2016-03-14,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-03-14,15:15,2016-03-14,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EN-212 uke 11 torsdag",2016-03-17,09:15,2016-03-17,11:00,"Erdmann Susan","KRS H1 022 sem"
"-EX-100 fil.hist. man",2016-04-04,12:15,2016-04-04,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-04-04,15:15,2016-04-04,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 fil.hist. man",2016-04-11,12:15,2016-04-11,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-04-11,15:15,2016-04-11,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EN-212 uke 3.7.15 onsdag",2016-04-13,12:15,2016-04-13,14:00,"Erdmann Susan","KRS H1 022 sem"
"-EX-100 fil.hist. man",2016-04-18,12:15,2016-04-18,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-04-18,15:15,2016-04-18,17:00,"Løkke Håvard","KRS B2 004 aud"
