Subject,Start Date,Start Time,End Date,End Time,Description,Location
MA-111/Forel/01,2015-01-05,12:15,2015-01-05,14:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
DAT110/pc-lab/02,2015-01-06,08:15,2015-01-06,10:00,Haaø Sven,CG-A3 042 pc-lab (auditorium) (56)
DAT222/Forel/01,2015-01-06,10:15,2015-01-06,12:00,Fjelldal Alexander. Mosgren. Kåre,CG-C2 040 auditorium (80)
DAT222/pc-lab/01,2015-01-06,12:15,2015-01-06,15:00,Fjelldal Alexander. Mosgren. Kåre,CG-A3 042 pc-lab (auditorium) (56)
DAT222/Forel/02,2015-01-07,10:15,2015-01-07,12:00,Fjelldal Alexander. Mosgren. Kåre,CG-C2 040 auditorium (80)
DAT222/pc-lab/02,2015-01-07,12:15,2015-01-07,15:00,Fjelldal Alexander. Mosgren. Kåre,CG-A3 042 pc-lab (auditorium) (56)
DAT110/Forel/,2015-01-08,08:15,2015-01-08,10:00,Haaø Sven,CG-C2 040 auditorium (80)
DAT110/pc-lab/01,2015-01-08,10:15,2015-01-08,12:00,Haaø Sven,CG-A3 042 pc-lab (auditorium) (56)
DAT101/Forel/01,2015-01-08,12:15,2015-01-08,14:00,Goodwin Morten. Nytun Jan P,CG-C2 036 auditorium (300)
DAT101/pc-lab/gr2,2015-01-08,14:15,2015-01-08,16:00,Goodwin Morten. Nytun Jan P,CG-A3 021 pc-lab (maskin/data) (28). CG-A3 022 pc-lab (maskin/data) (28)
MA-111/Forel/02,2015-01-09,09:15,2015-01-09,10:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
MA-111/Øv/01,2015-01-09,10:15,2015-01-09,12:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
DAT101/pc-lab/gr4,2015-01-09,12:15,2015-01-09,14:00,Goodwin Morten. Nytun Jan P,CG-A3 021 pc-lab (maskin/data) (28). CG-A3 022 pc-lab (maskin/data) (28)
MA-111/Forel/01,2015-01-12,12:15,2015-01-12,14:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
DAT110/pc-lab/02,2015-01-13,08:15,2015-01-13,10:00,Haaø Sven,CG-A3 042 pc-lab (auditorium) (56)
DAT222/Forel/01,2015-01-13,10:15,2015-01-13,12:00,Fjelldal Alexander. Mosgren. Kåre,CG-C2 040 auditorium (80)
DAT222/pc-lab/01,2015-01-13,12:15,2015-01-13,15:00,Fjelldal Alexander. Mosgren. Kåre,CG-A3 042 pc-lab (auditorium) (56)
DAT222/Forel/02,2015-01-14,10:15,2015-01-14,12:00,Fjelldal Alexander. Mosgren. Kåre,CG-C2 040 auditorium (80)
DAT222/pc-lab/02,2015-01-14,12:15,2015-01-14,15:00,Fjelldal Alexander. Mosgren. Kåre,CG-A3 042 pc-lab (auditorium) (56)
DAT110/Forel/,2015-01-15,08:15,2015-01-15,10:00,Haaø Sven,CG-C2 040 auditorium (80)
DAT110/pc-lab/01,2015-01-15,10:15,2015-01-15,12:00,Haaø Sven,CG-A3 042 pc-lab (auditorium) (56)
DAT101/Forel/01,2015-01-15,12:15,2015-01-15,14:00,Goodwin Morten. Nytun Jan P,CG-C2 036 auditorium (300)
DAT101/pc-lab/gr2,2015-01-15,14:15,2015-01-15,16:00,Goodwin Morten. Nytun Jan P,CG-A3 021 pc-lab (maskin/data) (28). CG-A3 022 pc-lab (maskin/data) (28)
MA-111/Forel/02,2015-01-16,09:15,2015-01-16,10:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
MA-111/Øv/01,2015-01-16,10:15,2015-01-16,12:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
DAT101/pc-lab/gr4,2015-01-16,12:15,2015-01-16,14:00,Goodwin Morten. Nytun Jan P,CG-A3 021 pc-lab (maskin/data) (28). CG-A3 022 pc-lab (maskin/data) (28)
MA-111/Forel/01,2015-01-19,12:15,2015-01-19,14:00,Grelland. Hans Herlof,CG-C4 055 auditorium (60)
DAT110/pc-lab/02,2015-01-20,08:15,2015-01-20,10:00,Haaø Sven,CG-A3 042 pc-lab (auditorium) (56)
DAT222/Forel/01,2015-01-20,10:15,2015-01-20,12:00,Fjelldal Alexander. Mosgren. Kåre,CG-C2 040 auditorium (80)
DAT222/pc-lab/01,2015-01-20,12:15,2015-01-20,15:00,Fjelldal Alexander. Mosgren. Kåre,CG-A3 042 pc-lab (auditorium) (56)
DAT222/Forel/02,2015-01-21,10:15,2015-01-21,12:00,Fjelldal Alexander. Mosgren. Kåre,CG-C2 040 auditorium (80)
DAT222/pc-lab/02,2015-01-21,12:15,2015-01-21,15:00,Fjelldal Alexander. Mosgren. Kåre,CG-A3 042 pc-lab (auditorium) (56)
DAT110/Forel/,2015-01-22,08:15,2015-01-22,10:00,Haaø Sven,CG-C2 040 auditorium (80)
