Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-STM100 for",2015-01-05,12:15,2015-01-05,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK B3 007 aud "
"-STM100 sem B",2015-01-06,08:15,2015-01-06,12:00,"","CK 48 108 sem"
"-STM100 sem B",2015-01-06,12:15,2015-01-06,16:00,"","CK 48 108 sem"
"-KKK100 for forming uke 2",2015-01-08,08:15,2015-01-08,10:00,"","CK 46 118 aula"
"-KKK100 for ped uke 2",2015-01-09,09:15,2015-01-09,11:00,"","CK 46 118 aula"
"-STM100 for",2015-02-23,12:15,2015-02-23,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK B3 007 aud "
"-STM100 sem B",2015-02-24,08:15,2015-02-24,12:00,"","CK 48 108 sem"
"-STM100 sem B",2015-02-24,12:15,2015-02-24,16:00,"","CK 48 108 sem"
"-STM100 for",2015-03-02,12:15,2015-03-02,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK B3 007 aud "
"-STM100 sem B",2015-03-03,08:15,2015-03-03,12:00,"","CK 48 108 sem"
"-STM100 sem B",2015-03-03,12:15,2015-03-03,16:00,"","CK 48 108 sem"
"-KKK100 drama 04.03",2015-03-04,08:15,2015-03-04,12:00,"Liene Anne Mette","CK 48 117 sem, CK 48 013 sem"
"-KKK100 framlegg uke 10",2015-03-05,09:15,2015-03-05,16:00,"","CK I1 002 sem, CK F1 031 sem"
"-STM100 for",2015-03-09,12:15,2015-03-09,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK B3 007 aud "
"-STM100 sem B",2015-03-10,08:15,2015-03-10,12:00,"","CK 48 108 sem"
"-STM100 sem B",2015-03-10,12:15,2015-03-10,16:00,"","CK 48 108 sem"
"-KKK100 for drama/musikk uke 11",2015-03-12,08:15,2015-03-12,10:00,"","CK 46 118 aula"
"-KKK100 musikk 2B 12.03",2015-03-12,09:15,2015-03-12,15:00,"Andersen Torstein","CK G1 018"
"-KKK100 drama 12.03",2015-03-12,11:15,2015-03-12,15:00,"Liene Anne Mette","CK 48 108 sem, CK 48 007 B sem"
"-KKK100 drama 13.03",2015-03-13,08:15,2015-03-13,12:00,"Liene Anne Mette","CK 48 108 sem, CK 48 007 B sem"
"-STM100 for",2015-03-16,12:15,2015-03-16,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK B3 007 aud "
"-STM100 sem B",2015-03-17,08:15,2015-03-17,12:00,"","CK 48 108 sem"
"-STM100 sem A+B uke 12",2015-03-17,12:15,2015-03-17,15:00,"Kvåle Gunhild","CK F1 022 sem"
"-KKK100 drama 18.03",2015-03-18,08:15,2015-03-18,12:00,"Liene Anne Mette","CK 48 115 sem, CK 48 013 sem"
"Booking/15/03/18 KKK100 gitar",2015-03-18,09:15,2015-03-18,10:00,"","CK G1 009"
"-KKK100 musikk 2B 19.03",2015-03-19,09:15,2015-03-19,15:00,"Andersen Torstein","CK G1 018"
"-KKK100 drama 19.03",2015-03-19,12:15,2015-03-19,16:00,"Liene Anne Mette","CK 46 137 sem, CK 46 215 sem"
"-KKK100 drama 20.03",2015-03-20,08:15,2015-03-20,12:00,"Liene Anne Mette","CK 48 108 sem, CK 48 007 B sem"
"-STM100 for",2015-03-23,12:15,2015-03-23,16:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK B3 007 aud "
"-STM100 sem B",2015-03-24,08:15,2015-03-24,12:00,"","CK 48 108 sem"
"-STM100 sem B",2015-03-24,12:15,2015-03-24,16:00,"","CK 48 108 sem"
"-KKK100 for forming uke 13",2015-03-26,08:15,2015-03-26,10:00,"","CK 46 118 aula"
"-STM100 for 07.04",2015-04-07,09:15,2015-04-07,10:00,"Carlsen, Martin","CK B2 003 aud"
"-STM100 for 07.04",2015-04-07,12:15,2015-04-07,17:00,"Carlsen, Martin","CK F1 013, CK F1 004, CK F1 006"
"-STM100 for 17.04",2015-04-17,08:15,2015-04-17,14:00,"Bjorvand Agnes-Margrethe, Carlsen, Martin, Kvåle Gunhild, Moseid Elin Arnesen, Nes Solbjørg Tormodsdotter, Wathne Unni","CK 46 137 sem, CK HU 022 sem, CK IU 001 sem, CK B3 004 sem"
"-STM100 for 17.04",2015-04-17,10:15,2015-04-17,14:00,"","CK B3 002, CK HU 023 sem, CK IU 069 aud, CK 46 134 sem"
"-KKK100 for drama/forming/musikk uke 17",2015-04-20,08:15,2015-04-20,12:00,"","CK B3 007 aud "
"-KKK100 for drama/forming/musikk uke 17",2015-04-20,12:15,2015-04-20,16:00,"","CK B1 007 aud"
"-KKK100 for drama/forming/musikk uke 17",2015-04-21,08:15,2015-04-21,12:00,"","CK B1 001 aud"
"Booking/15/04/27 2KKK prosjekt",2015-04-27,09:15,2015-04-27,15:00,"","CK G1 012"
"Booking/15/04/29 2KKK prosjekt",2015-04-29,09:15,2015-04-29,15:00,"","CK G1 012"
"-KKK100 for drama/forming/musikk uke 19",2015-05-06,09:15,2015-05-06,12:00,"","CK B1 001 aud"
"-KKK100 for musikk uke 19",2015-05-06,12:15,2015-05-06,15:00,"","CK B1 006 aud"
"-KKK100 for musikk uke 19",2015-05-07,09:15,2015-05-07,12:00,"","CK 46 118 aula"
"-KKK100 for musikk uke 19",2015-05-07,12:15,2015-05-07,15:00,"","CK B1 001 aud"
