Subject,Start Date,Start Time,End Date,End Time,Description,Location
BIO113-1 forel man,2015-01-05,09:15,2015-01-05,11:00,Korslund Lars,CK JU 071 aud
KJ-113-1 forel tirs,2015-01-06,16:15,2015-01-06,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-07,08:15,2015-01-07,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO113-1 forel ons,2015-01-07,09:15,2015-01-07,11:00,Korslund Lars,CK I1 066 aud
BIO205/BIO202 forel uke 2-5 ,2015-01-08,10:15,2015-01-08,12:00,Olsen Yngvar Asbjørn,CK J1 064 aud
BIO113-1 forel man,2015-01-12,09:15,2015-01-12,11:00,Korslund Lars,CK JU 071 aud
KJ-113-1 forel tirs,2015-01-13,16:15,2015-01-13,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-14,08:15,2015-01-14,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO113-1 forel ons,2015-01-14,09:15,2015-01-14,11:00,Korslund Lars,CK I1 066 aud
BIO205/BIO202 forel uke 2-5 ,2015-01-15,10:15,2015-01-15,12:00,Olsen Yngvar Asbjørn,CK J1 064 aud
ML-209/ML-201 forel tors,2015-01-15,15:15,2015-01-15,17:00,Synstad Bjørnar,CK JU 071 aud
ML-209/ML-201 forel fred,2015-01-16,10:15,2015-01-16,12:00,Synstad Bjørnar,CK JU 071 aud
BIO113-1 forel man,2015-01-19,09:15,2015-01-19,11:00,Korslund Lars,CK JU 071 aud
KJ-212-1 forel tirs,2015-01-20,10:15,2015-01-20,12:00,Mansoor Mohammad Azam,CK J1 064 aud
KJ-113-1 forel tirs,2015-01-20,16:15,2015-01-20,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-21,08:15,2015-01-21,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO113-1 forel ons,2015-01-21,09:15,2015-01-21,11:00,Korslund Lars,CK I1 066 aud
KJ-212-1 forel tors,2015-01-22,08:15,2015-01-22,10:00,Mansoor Mohammad Azam,CK J1 064 aud
BIO205/BIO202 forel uke 2-5 ,2015-01-22,10:15,2015-01-22,12:00,Olsen Yngvar Asbjørn,CK J1 064 aud
ML-209/ML-201 forel tors,2015-01-22,15:15,2015-01-22,17:00,Synstad Bjørnar,CK JU 071 aud
KJ-212-1 forel fred,2015-01-23,10:15,2015-01-23,12:00,Mansoor Mohammad Azam,CK H1 058 aud
ML-209/ML-201 forel fred,2015-01-23,10:15,2015-01-23,12:00,Synstad Bjørnar,CK JU 071 aud
BIO113-1 gr uke 4.6.10.12.16,2015-01-23,12:15,2015-01-23,14:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
KJ-113-1 lab forel tirs,2015-01-26,08:15,2015-01-26,09:00,Svendsen Monica Lian,CK I1 066 aud
BIO113-1 forel man,2015-01-26,09:15,2015-01-26,11:00,Korslund Lars,CK JU 071 aud
KJ-212-1 forel tirs,2015-01-27,10:15,2015-01-27,12:00,Mansoor Mohammad Azam,CK J1 064 aud
BIO113-1 lab tirs,2015-01-27,12:15,2015-01-27,15:00,Korslund Lars,CK J1 001 bio
BIO113-1 pc lab tirs,2015-01-27,12:15,2015-01-27,15:00,Korslund Lars,CK JK 007 pclab
KJ-113-1 forel tirs,2015-01-27,16:15,2015-01-27,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-01-28,08:15,2015-01-28,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO113-1 forel ons,2015-01-28,09:15,2015-01-28,11:00,Korslund Lars,CK I1 066 aud
KJ-212-1 forel tors,2015-01-29,08:15,2015-01-29,10:00,Mansoor Mohammad Azam,CK J1 064 aud
BIO205/BIO202 forel uke 2-5 ,2015-01-29,10:15,2015-01-29,12:00,Olsen Yngvar Asbjørn,CK J1 064 aud
ML-209/ML-201 forel tors,2015-01-29,15:15,2015-01-29,17:00,Synstad Bjørnar,CK JU 071 aud
KJ-212-1 forel fred,2015-01-30,10:15,2015-01-30,12:00,Mansoor Mohammad Azam,CK H1 058 aud
ML-209/ML-201 forel fred,2015-01-30,10:15,2015-01-30,12:00,Synstad Bjørnar,CK JU 071 aud
KJ-113-1 lab gr 5 fre,2015-01-30,12:15,2015-01-30,16:00,Svendsen Monica Lian,CK JU 017 kjemi
BIO113-1 forel man,2015-02-02,09:15,2015-02-02,11:00,Korslund Lars,CK JU 071 aud
BIO205/BIO202 forel man uke 6.7.10,2015-02-02,09:15,2015-02-02,11:00,Olsen Yngvar Asbjørn,CK J1 064 aud
KJ-113-1 gr,2015-02-02,12:15,2015-02-02,14:00,Svendsen Monica Lian,CK JK 031. CK JK 032. CK JK 033. CK J1 031. CK J1 032. CK J1 057. CK J1 056. CK JK 037
KJ-212-1 forel tirs,2015-02-03,10:15,2015-02-03,12:00,Mansoor Mohammad Azam,CK J1 064 aud
KJ-113-1 forel tirs,2015-02-03,16:15,2015-02-03,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-02-04,08:15,2015-02-04,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO113-1 forel ons,2015-02-04,09:15,2015-02-04,11:00,Korslund Lars,CK I1 066 aud
KJ-212-1 forel tors,2015-02-05,08:15,2015-02-05,10:00,Mansoor Mohammad Azam,CK J1 064 aud
BIO205/BIO202 forel tors uke 6.7.8.10,2015-02-05,10:15,2015-02-05,12:00,Olsen Yngvar Asbjørn,CK J1 064 aud
ML-209/ML-201 forel tors,2015-02-05,15:15,2015-02-05,17:00,Synstad Bjørnar,CK JU 071 aud
BIO205/BIO202 gr uke 6,2015-02-05,16:15,2015-02-05,18:00,Olsen Yngvar Asbjørn,CK JK 031. CK JK 032. CK J1 032. CK J1 057. CK J1 056
KJ-212-1 forel fred,2015-02-06,10:15,2015-02-06,12:00,Mansoor Mohammad Azam,CK H1 058 aud
ML-209/ML-201 forel fred,2015-02-06,10:15,2015-02-06,12:00,Synstad Bjørnar,CK JU 071 aud
BIO113-1 gr uke 4.6.10.12.16,2015-02-06,12:15,2015-02-06,14:00,Korslund Lars,CK JK 031. CK JK 032. CK JK 033. CK J1 032. CK J1 057
KJ-113-1 lab forel tirs,2015-02-09,08:15,2015-02-09,09:00,Svendsen Monica Lian,CK I1 066 aud
BIO113-1 forel man,2015-02-09,09:15,2015-02-09,11:00,Korslund Lars,CK JU 071 aud
BIO205/BIO202 forel man uke 6.7.10,2015-02-09,09:15,2015-02-09,11:00,Olsen Yngvar Asbjørn,CK J1 064 aud
KJ-212-1 forel tirs,2015-02-10,10:15,2015-02-10,12:00,Mansoor Mohammad Azam,CK J1 064 aud
BIO113-1 lab tirs,2015-02-10,12:15,2015-02-10,15:00,Korslund Lars,CK J1 001 bio
BIO113-1 pc lab tirs,2015-02-10,12:15,2015-02-10,15:00,Korslund Lars,CK JK 007 pclab
KJ-113-1 forel tirs,2015-02-10,16:15,2015-02-10,18:00,Svendsen Monica Lian,CK J1 064 aud
KJ-113-1 forel ons,2015-02-11,08:15,2015-02-11,09:00,Svendsen Monica Lian,CK J1 064 aud
BIO113-1 forel ons,2015-02-11,09:15,2015-02-11,11:00,Korslund Lars,CK I1 066 aud
KJ-212-1 forel tors,2015-02-12,08:15,2015-02-12,10:00,Mansoor Mohammad Azam,CK J1 064 aud
BIO205/BIO202 forel tors uke 6.7.8.10,2015-02-12,10:15,2015-02-12,12:00,Olsen Yngvar Asbjørn,CK J1 064 aud
ML-209/ML-201 forel tors,2015-02-12,15:15,2015-02-12,17:00,Synstad Bjørnar,CK JU 071 aud
