Subject,Start Date,Start Time,End Date,End Time,Description,Location
"KJ-111 forel ons uke 33",2015-08-12,10:15,2015-08-12,13:00,"Svendsen Lian Monica","CK J1 064 aud"
"BIO206 forel tors",2015-08-13,08:15,2015-08-13,12:00,"Sandvik Sylvi Marlen","CK J1 064 aud"
"KJ-111 forel tors uke 33",2015-08-13,12:15,2015-08-13,15:00,"Svendsen Lian Monica","CK HK 007 sem"
"BIO206 forel fre",2015-08-14,08:15,2015-08-14,10:00,"Sandvik Sylvi Marlen","CK J2 009 sem"
"KJ-111 forel fre uke 33.35.41",2015-08-14,10:15,2015-08-14,13:00,"Svendsen Lian Monica","CK J1 064 aud"
"KJ-111 lab forel NB! Oblig.",2015-08-24,08:15,2015-08-24,09:00,"Svendsen Lian Monica","CK HK 007 sem"
"KJ-111 lab gr.1 man",2015-08-24,12:15,2015-08-24,16:00,"Solgaard Geir, Svendsen Lian Monica","CK JK 018 kjemi"
"ML-208 forel tirs",2015-08-25,08:15,2015-08-25,10:00,"Slettan Audun","CK D3 018 sem"
"ML-208 forel ons",2015-08-26,08:15,2015-08-26,10:00,"Slettan Audun","CK J1 064 aud"
"KJ-111 lab gr.2 ons",2015-08-26,12:15,2015-08-26,16:00,"Solgaard Geir, Svendsen Lian Monica","CK JK 018 kjemi"
"BIO206 forel tors",2015-08-27,08:15,2015-08-27,12:00,"Sandvik Sylvi Marlen","CK J1 064 aud"
"KJ-111 forel tors uke 35",2015-08-27,12:15,2015-08-27,14:00,"Svendsen Lian Monica","CK JU 071 aud"
"BIO206 forel fre",2015-08-28,08:15,2015-08-28,10:00,"Sandvik Sylvi Marlen","CK J2 009 sem"
"KJ-111 forel fre uke 33.35.41",2015-08-28,10:15,2015-08-28,13:00,"Svendsen Lian Monica","CK J1 064 aud"
"KJ-111 forel man uke 36",2015-08-31,14:15,2015-08-31,17:00,"Svendsen Lian Monica","CK J1 064 aud"
"BIO206 forel tors",2015-09-03,08:15,2015-09-03,12:00,"Sandvik Sylvi Marlen","CK J1 064 aud"
"BIO206 forel fre",2015-09-04,08:15,2015-09-04,10:00,"Sandvik Sylvi Marlen","CK J2 009 sem"
"KJ-111 forel fre uke 36.37.39",2015-09-04,10:15,2015-09-04,12:00,"Svendsen Lian Monica","CK J1 064 aud"
"KJ-111 lab forel NB! Oblig.",2015-09-07,08:15,2015-09-07,09:00,"Svendsen Lian Monica","CK HK 007 sem"
"KJ-111 lab gr.1 man",2015-09-07,12:15,2015-09-07,16:00,"Solgaard Geir, Svendsen Lian Monica","CK JK 018 kjemi"
"ML-208 forel tirs",2015-09-08,08:15,2015-09-08,10:00,"Slettan Audun","CK D3 018 sem"
"ML-208 forel ons",2015-09-09,08:15,2015-09-09,10:00,"Slettan Audun","CK J1 064 aud"
"ML-208 gr ons",2015-09-09,10:15,2015-09-09,12:00,"Slettan Audun","CK 51 102, CK 51 103, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
"KJ-111 lab gr.2 ons",2015-09-09,12:15,2015-09-09,16:00,"Solgaard Geir, Svendsen Lian Monica","CK JK 018 kjemi"
"BIO206 forel tors",2015-09-10,08:15,2015-09-10,12:00,"Sandvik Sylvi Marlen","CK J1 064 aud"
"KJ-111 forel tors uke 37",2015-09-10,12:15,2015-09-10,14:00,"Svendsen Lian Monica","CK J1 064 aud"
"BIO206 forel fre",2015-09-11,08:15,2015-09-11,10:00,"Sandvik Sylvi Marlen","CK J2 009 sem"
"KJ-111 forel fre uke 36.37.39",2015-09-11,10:15,2015-09-11,12:00,"Svendsen Lian Monica","CK J1 064 aud"
"KJ-111 gr uke 38",2015-09-14,12:15,2015-09-14,14:00,"Svendsen Lian Monica","CK J1 031, CK JK 031, CK JK 032, CK JK 033, CK JK 037"
"KJ-111 forel man uke 38",2015-09-14,14:15,2015-09-14,17:00,"Svendsen Lian Monica","CK J1 064 aud"
"ML-208 forel tirs",2015-09-15,08:15,2015-09-15,10:00,"Slettan Audun","CK D3 018 sem"
"ML-208 forel ons",2015-09-16,08:15,2015-09-16,10:00,"Slettan Audun","CK J1 064 aud"
"ML-208 gr ons",2015-09-16,10:15,2015-09-16,12:00,"Slettan Audun","CK 51 102, CK 51 103, CK 51 122d, CK 51 122e, CK 51 122f, CK 51 122g"
"BIO206 forel tors",2015-09-17,08:15,2015-09-17,12:00,"Sandvik Sylvi Marlen","CK J1 064 aud"
"BIO206 forel fre",2015-09-18,08:15,2015-09-18,10:00,"Sandvik Sylvi Marlen","CK J2 009 sem"
