Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MAS502-G/Forel/01",2015-08-17,08:15,2015-08-17,10:00,"Ottestad, Morten","CG D2 036 lab M/ELK"
"MAS502-G/Lab/01",2015-08-17,10:15,2015-08-17,12:00,"Ottestad, Morten","CG D2 036 lab M/ELK"
"MAS503-G/Forel/01",2015-08-18,08:15,2015-08-18,10:00,"Johnsen, Raymond","CG D3 053 sem"
"MAS503-G/Forel/Øv/01",2015-08-18,10:15,2015-08-18,12:00,"Johnsen, Raymond","CG D2 024 lab M/ELK"
"MAS501-G/Forel/01",2015-08-18,12:15,2015-08-18,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-08-18,14:15,2015-08-18,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-08-19,08:15,2015-08-19,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-08-19,10:15,2015-08-19,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS503-G/Forel/02",2015-08-20,12:15,2015-08-20,14:00,"Johnsen, Raymond","CG D3 053 sem"
"MAS503-G/Forel/Øv/02",2015-08-20,14:15,2015-08-20,16:00,"Johnsen, Raymond","CG D3 053 sem"
"MAS502-G/Forel/01",2015-08-24,08:15,2015-08-24,10:00,"Ottestad, Morten","CG D2 036 lab M/ELK"
"MAS502-G/Lab/01",2015-08-24,10:15,2015-08-24,12:00,"Ottestad, Morten","CG D2 036 lab M/ELK"
