Subject,Start Date,Start Time,End Date,End Time,Description,Location
"IND417-G/Forel/01",2015-08-13,09:15,2015-08-13,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-08-13,12:15,2015-08-13,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-08-14,12:15,2015-08-14,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE502-G/Forel/uke 34",2015-08-17,08:15,2015-08-17,16:00,"Kolhe, Mohan","CG A2 021 sem"
"ENE401-G/Forel/øv/01",2015-08-18,08:15,2015-08-18,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-08-18,12:15,2015-08-18,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-08-18,14:15,2015-08-18,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-08-19,08:15,2015-08-19,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-08-19,10:15,2015-08-19,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-08-19,12:15,2015-08-19,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-08-20,09:15,2015-08-20,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-08-20,12:15,2015-08-20,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-08-21,12:15,2015-08-21,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-08-21,14:15,2015-08-21,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 35",2015-08-24,08:15,2015-08-24,16:00,"Kolhe, Mohan","CG A3 025 sem (VER)"
"ENE401-G/Forel/øv/01",2015-08-25,08:15,2015-08-25,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-08-25,12:15,2015-08-25,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-08-25,14:15,2015-08-25,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-08-26,08:15,2015-08-26,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-08-26,10:15,2015-08-26,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-08-26,12:15,2015-08-26,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-08-27,09:15,2015-08-27,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-08-27,12:15,2015-08-27,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-08-28,12:15,2015-08-28,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-08-28,14:15,2015-08-28,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 36-38",2015-08-31,08:15,2015-08-31,16:00,"Kolhe, Mohan","CG A3 023 sem"
"ENE401-G/Forel/øv/01",2015-09-01,08:15,2015-09-01,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-09-01,12:15,2015-09-01,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-09-01,14:15,2015-09-01,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-09-02,08:15,2015-09-02,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-09-02,10:15,2015-09-02,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-09-02,12:15,2015-09-02,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-09-03,09:15,2015-09-03,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-03,12:15,2015-09-03,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-09-04,12:15,2015-09-04,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-09-04,14:15,2015-09-04,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 36-38",2015-09-07,08:15,2015-09-07,16:00,"Kolhe, Mohan","CG A3 023 sem"
"ENE401-G/Forel/øv/01",2015-09-08,08:15,2015-09-08,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-09-08,12:15,2015-09-08,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-09-08,14:15,2015-09-08,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-09-09,08:15,2015-09-09,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-09-09,10:15,2015-09-09,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-09-09,12:15,2015-09-09,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-09-10,09:15,2015-09-10,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-10,12:15,2015-09-10,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-09-11,12:15,2015-09-11,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-09-11,14:15,2015-09-11,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 36-38",2015-09-14,08:15,2015-09-14,16:00,"Kolhe, Mohan","CG A3 023 sem"
"ENE401-G/Forel/øv/01",2015-09-15,08:15,2015-09-15,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-09-15,12:15,2015-09-15,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-09-15,14:15,2015-09-15,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-09-16,08:15,2015-09-16,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-09-16,10:15,2015-09-16,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-09-16,12:15,2015-09-16,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-09-17,09:15,2015-09-17,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-17,12:15,2015-09-17,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-09-18,12:15,2015-09-18,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-09-18,14:15,2015-09-18,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE401-G/Forel/øv/01",2015-09-22,08:15,2015-09-22,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-09-22,12:15,2015-09-22,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-09-22,14:15,2015-09-22,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-09-23,08:15,2015-09-23,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-09-23,10:15,2015-09-23,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-09-23,12:15,2015-09-23,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-09-24,09:15,2015-09-24,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-09-24,12:15,2015-09-24,14:00,"Egge, Steinar","CG A2 025 sem"
"ENE402-G/Forel/Øv/02",2015-09-25,12:15,2015-09-25,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-09-25,14:15,2015-09-25,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 40",2015-09-28,08:15,2015-09-28,16:00,"Kolhe, Mohan","CG A2 085 aud"
"ENE401-G/Forel/øv/01",2015-09-29,08:15,2015-09-29,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-09-29,12:15,2015-09-29,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-09-29,14:15,2015-09-29,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-09-30,08:15,2015-09-30,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-09-30,10:15,2015-09-30,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-09-30,12:15,2015-09-30,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-10-01,09:15,2015-10-01,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-01,12:15,2015-10-01,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-02,10:15,2015-10-02,12:00,"Egge, Steinar","CG F 203 sem"
"ENE402-G/Forel/Øv/02",2015-10-02,12:15,2015-10-02,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-10-02,14:15,2015-10-02,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 41",2015-10-05,08:15,2015-10-05,16:00,"Kolhe, Mohan","CG F 203 sem"
"ENE401-G/Forel/øv/01",2015-10-06,08:15,2015-10-06,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-10-06,12:15,2015-10-06,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-10-06,14:15,2015-10-06,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-10-07,08:15,2015-10-07,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-10-07,10:15,2015-10-07,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-10-07,12:15,2015-10-07,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-10-08,09:15,2015-10-08,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-08,12:15,2015-10-08,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-09,10:15,2015-10-09,12:00,"Egge, Steinar","CG F 203 sem"
"ENE402-G/Forel/Øv/02",2015-10-09,12:15,2015-10-09,14:00,"Kolhe, Mohan","CG A2 023 sem"
"ENE402-G/Lab/01",2015-10-09,14:15,2015-10-09,16:00,"Kolhe, Mohan","CG A2 055 pclab"
"ENE502-G/Forel/uke 42",2015-10-12,08:15,2015-10-12,16:00,"Kolhe, Mohan","CG D3 053 sem"
"ENE401-G/Forel/øv/01",2015-10-13,08:15,2015-10-13,12:00,"Middelton, Peter Hugh","CG C4 092 sem"
"MAS501-G/Forel/01",2015-10-13,12:15,2015-10-13,14:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/01 ",2015-10-13,14:15,2015-10-13,16:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"MAS501-G/Forel/02",2015-10-14,08:15,2015-10-14,10:00,"Chadeli, Mohammed","CG D3 053 sem"
"MAS501-G/Forel/Øv/02",2015-10-14,10:15,2015-10-14,12:00,"Chadeli, Mohammed","CG D2 024 lab M/ELK"
"ENE402-G/Forel/01",2015-10-14,12:15,2015-10-14,14:00,"Kolhe, Mohan","CG A2 023 sem"
"IND417-G/Forel/01",2015-10-15,09:15,2015-10-15,12:00,"Egge, Steinar","CG A3 041 sem"
"IND417-G/Øv/01",2015-10-15,12:15,2015-10-15,14:00,"Egge, Steinar","CG A2 025 sem"
"IND417-G/Forel/øv uke 40-47",2015-10-16,10:15,2015-10-16,12:00,"Egge, Steinar","CG F 203 sem"
